zone,adj2026,peak2026,caus_share2026_pct,burden_share2026_pct,ratio2026,adj2030,peak2030,caus_share2030_pct,burden_share2030_pct,ratio2030,adj2046,peak2046,caus_share2046_pct,burden_share2046_pct,ratio2046
DOM,7066,25193.0,61.56,16.11,3.82,13896,31939.0,35.8,17.45,2.05,35686,56242.0,40.93,22.22,1.84
AEP,2699,24635.0,23.51,15.75,1.49,8665,30869.0,22.32,16.87,1.32,20726,46354.0,23.77,18.32,1.3
COMED,885,20847.0,7.71,13.33,0.58,5176,24644.0,13.34,13.47,0.99,10870,31227.0,12.47,12.34,1.01
PS,308,10046.0,2.68,6.42,0.42,1446,11029.0,3.73,6.03,0.62,2710,14606.0,3.11,5.77,0.54
PL,189,7408.0,1.65,4.74,0.35,4996,12330.0,12.87,6.74,1.91,6284,14411.0,7.21,5.69,1.27
APS,165,9114.0,1.44,5.83,0.25,1213,9946.0,3.13,5.43,0.58,2776,13302.0,3.18,5.26,0.61
ATSI,132,12770.0,1.15,8.17,0.14,1129,13677.0,2.91,7.47,0.39,2211,16413.0,2.54,6.49,0.39
BGE,18,6471.0,0.16,4.14,0.04,176,6484.0,0.45,3.54,0.13,355,7325.0,0.41,2.89,0.14
PECO,17,8539.0,0.15,5.46,0.03,824,9190.0,2.12,5.02,0.42,1702,11104.0,1.95,4.39,0.44
AE,0,2563.0,0.0,1.64,0.0,0,2517.0,0.0,1.38,0.0,0,2956.0,0.0,1.17,0.0
DPL,0,4008.0,0.0,2.56,0.0,0,3949.0,0.0,2.16,0.0,0,4346.0,0.0,1.72,0.0
JCPL,0,6044.0,0.0,3.87,0.0,77,6060.0,0.2,3.31,0.06,245,8021.0,0.28,3.17,0.09
METED,0,3013.0,0.0,1.93,0.0,75,3130.0,0.19,1.71,0.11,234,4169.0,0.27,1.65,0.16
PENLC,0,2820.0,0.0,1.8,0.0,0,2794.0,0.0,1.53,0.0,0,3129.0,0.0,1.24,0.0
PEPCO,0,6003.0,0.0,3.84,0.0,142,6143.0,0.37,3.36,0.11,1064,8170.0,1.22,3.23,0.38
RECO,0,406.0,0.0,0.26,0.0,0,391.0,0.0,0.21,0.0,0,459.0,0.0,0.18,0.0
UGI,0,204.0,0.0,0.13,0.0,0,202.0,0.0,0.11,0.0,0,218.0,0.0,0.09,0.0
DAYTON,0,3357.0,0.0,2.15,0.0,954,4259.0,2.46,2.33,1.06,2244,5863.0,2.57,2.32,1.11
DEOK,0,5323.0,0.0,3.4,0.0,0,5371.0,0.0,2.93,0.0,0,6337.0,0.0,2.5,0.0
DLCO,0,2674.0,0.0,1.71,0.0,46,2705.0,0.12,1.48,0.08,87,3184.0,0.1,1.26,0.08
EKPC,0,2802.0,0.0,1.79,0.0,0,2812.0,0.0,1.54,0.0,0,3063.0,0.0,1.21,0.0
OVEC,0,95.0,0.0,0.06,0.0,0,95.0,0.0,0.05,0.0,0,95.0,0.0,0.04,0.0
